abidef,È±Ïİ·¦Ñø¾ú ,Abiotrophia defectiva
alcxld,·´Ïõ»¯ÎŞÉ«¸Ë¾ú,Achromobacter denitrificans
achxyl,Ä¾ÌÇÑõ»¯ÎŞÉ«¸Ë¾ú,Achromobacter xylosoxidans
acibau,±«Âü²»¶¯¸Ë¾ú ,Acinetobacter baumannii
acibcx,±«Âü²»¶¯¸Ë¾ú¸´ºÏ¾ú,Acinetobacter baumannii  complex
acicba,´×Ëá¸Æ²»¶¯¸Ë¾ú ,Acinetobacter calcoaceticus
acihae,ÈÜÑª²»¶¯¸Ë¾ú,Acinetobacter haemolyticus
acijoh,Ô¼ÊÏ²»¶¯¸Ë¾ú,Acinetobacter johnsonii
acijun,ÇíÊÏ²»¶¯¸Ë¾ú,Acinetobacter junii
acilwo,Â³ÊÏ²»¶¯¸Ë¾ú,Acinetobacter lwoffii
acit13,Ò½Ôº²»¶¯¸Ë¾ú ,Acinetobacter nosocomialis
acigen,Æ¤ÌØ²»¶¯¸Ë¾ú ,Acinetobacter pittii
acirad,¿¹·øÉä²»¶¯¸Ë¾ú,Acinetobacter radioresistens
acispe,²»¶¯¸Ë¾úÊô,Acinetobacter spp
aciurs,ÎÚ¶ûĞÁ²»¶¯¸Ë¾ú,Acinetobacter ursingii
actple,"ĞØÄ¤·ÎÑ×·ÅÏß¸Ë¾ú
",Actinobacillus pleuropneumoniae
actsui,"Öí·ÅÏß¸Ë¾ú
",Actinobacillus suis
pasure,ëå·ÅÏß¸Ë¾ú,Actinobacillus ureae
actsch,É³¶û·ÅÏß¸ËĞÎ¾ú,Actinobaculum schalii  
actbov,Å£ĞÍ·ÅÏß¾ú,Actinomyces bovis
actcan,È®É³¶û¾ú,Schaalia canis
acteur,Å·ÖŞ¸ñÀ³Ä·¾ú,Gleimia europaea
actisr,ÒÂÊÏ·ÅÏß¾ú,Actinomyces israelii
actmey,Âõ¶ûÉ³¶û¾ú,Schaalia meyeri
actnae,ÄÚÊÏ·ÅÏß¾ú,Actinomyces naeslundii
actneu,Å¦ÊÏÎÂ¿Ë¾ú,Winkia neuii
actodo,È£³İÉ³¶û¾ú,Schaalia odontolyticus
actrad,À×¶¡É³¶û¾ú,Schaalia radingae
acttur,ËÕÀèÊÀÉ³¶û¾ú,Schaalia turicensis
aerpal,²Ô°×ĞèÑõĞ¡¸Ë¾ú,Aeribacillus pallidus
aeruri,ëåÆøÇò¾ú,Aerococcus urinae
aervir,ÂÌÉ«ÆøÇò¾ú,Aerococcus viridans
aercav,°ßµã£¨ëàÊó£©Æøµ¥°û¾ú,Aeromonas puctata (caviae)
aerdro,ÊÈË®Æøµ¥°û¾ú,Aeromonas hydrophila
aerhyd,ÊÈË®/°ßµã£¨ëàÊó£©Æøµ¥°û¾ú,Aeromonas hydrophila/punctata(caviae)
aersal,É±öÙÆøµ¥°û¾ú,Aeromonas salmonicida
aersob,ÎÂºÍÆøµ¥°û¾ú,Aeromonas sobria
aerver,Î¬ÊÏÆøµ¥°û¾ú,Aeromonas veronii
acbact,°é·ÅÏßÄı¾Û¸Ë¾ú,Aggregatibacter actinomycetemcomitans
haeaph,ÊÈÄ­Äı¾Û¸Ë¾ú,Aggregatibacter aphrophilus
haeseg,¶èĞÔÄı¾Û¸Ë¾ú,Aggregatibacter segnis
alcspe,·à²ú¼î¾ú·àÑÇÖÖ,Alcaligenes faecalis ssp faecalis
aliacd,ËáÈÈÖ¬»·ËáÑ¿æß¸Ë¾ú,Alicyclobacillus acidocaldarius
aliaci,ËáÍÁÖ¬»·ËáÑ¿æß¸Ë¾ú,Alicyclobacillus acidoterrestris
aliaca,ËáÍÁ/ËáÈÈÖ¬»·ËáÑ¿æß¸Ë¾ú,Alicyclobacillus acidoterrestris/acidocaldarius
alloti,¶úÑ×²îÒìÇò¾ú,Alloiococcus otitis
anapre,ÆÕÀ×ÎÖÑáÑõÇò¾ú,Anaerococcus prevotii
aneane,½âÁò°±ËØ½âÁò°±ËØ¸Ë¾ú,Aneurinibacillus aneurinilyticus
anethe,ÊÈÈÈĞèÑõ½âÁò°±ËØ¸Ë¾ú,Aneurinibacillus thermoaerophilus
corhae,ÈÜÑªÒşÃØ¸Ë¾ú,Arcanobacterium haemolyticum
artcmm,¿¨Ã÷Ë¹¼Ù¹È°±Ëá¸Ë¾ú,Pseudoglutamicibacter cumminsii
atovag,ÒõµÀ·¶ÄİºÕË¹¾ú,Fannyhessea vaginae
bacaml,½âµí·ÛÑ¿æß¸Ë¾ú,Bacillus amyloliquefaciens
bacant,Ì¿¾ÒÑ¿æß¸Ë¾ú,Bacillus anthracis
bacatr,ÉîºÖÑ¿æß¸Ë¾ú,Bacillus atrophaeus
bacbad,ÀõºÖÑ¿æß¸Ë¾ú,Bacillus badius
baccer,À¯ÑùÑ¿æß¸Ë¾ú,Bacillus cereus
bacthm,À¯Ñù/ ËÕÔÆ½ğ/ Ş¦×´Ñ¿æß¸Ë¾ú,Bacillus cereus/thuringiensis/mycoides
baccir,»·×´Ñ¿æß¸Ë¾ú,Bacillus circulans
baccla,¿ËÀÍË¹Ñ¿æß¸Ë¾ú,Bacillus clausii
baccoa,Äı¹ÌÑ¿æß¸Ë¾ú ,Bacillus coagulans
bacfar,»ìºÏËÇÁÏÑ¿æß¸Ë¾ú,Bacillus farraginis
bacfir,¼á¹ÌÑ¿æß¸Ë¾ú,Bacillus firmus
